id,video_id,buffering_bitrate_audio,buffering_bitrate_video,buffering_state,buffering_vmaf,duration,framerate,player_state,playing_bitrate_video,playing_bitrate_audio,playing_vmaf,position,rendering_state,resolution,segment_position,timestamp,total_corrupted_frames,total_dropped_frames,total_frames,volume
82,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,79.080,Playing,480x270,79.080,2023-02-06T14:18:06.332,0,0,2015,64
83,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,80.143,Playing,480x270,80.143,2023-02-06T14:18:07.330,0,0,2039,64
84,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,81.202,Playing,480x270,81.202,2023-02-06T14:18:08.332,0,0,2063,64
85,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,82.266,Playing,480x270,82.266,2023-02-06T14:18:09.332,0,0,2088,64
86,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,83.066,Playing,480x270,83.066,2023-02-06T14:18:10.332,0,0,2112,64
87,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,84.239,Playing,480x270,84.239,2023-02-06T14:18:11.331,0,0,2136,64
88,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,85.189,Playing,480x270,85.189,2023-02-06T14:18:12.332,0,0,2160,64
89,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,86.249,Playing,480x270,86.249,2023-02-06T14:18:13.338,0,0,2184,64
90,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,87.315,Playing,480x270,87.315,2023-02-06T14:18:14.332,0,0,2208,64
91,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,88.111,Playing,480x270,88.111,2023-02-06T14:18:15.332,0,0,2232,64
92,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,89.171,Playing,480x270,89.171,2023-02-06T14:18:16.332,0,0,2256,64
93,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,90.232,Playing,480x270,90.232,2023-02-06T14:18:17.333,0,0,2281,64
94,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,91.298,Playing,480x270,91.298,2023-02-06T14:18:18.332,0,0,2305,64
95,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,92.212,Playing,480x270,92.212,2023-02-06T14:18:19.332,0,0,2329,64
96,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,93.158,Playing,480x270,93.158,2023-02-06T14:18:20.332,0,0,2353,64
97,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,94.220,Playing,480x270,94.220,2023-02-06T14:18:21.333,0,0,2377,64
98,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,95.282,Playing,480x270,95.282,2023-02-06T14:18:22.328,0,0,2401,64
99,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,96.341,Playing,480x270,96.341,2023-02-06T14:18:23.329,0,0,2426,64
100,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,97.141,Playing,480x270,97.141,2023-02-06T14:18:24.332,0,0,2450,64
101,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,98.204,Playing,480x270,98.204,2023-02-06T14:18:25.332,0,0,2474,64
102,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,99.266,Playing,480x270,99.266,2023-02-06T14:18:26.332,0,0,2498,64
103,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,100.331,Playing,480x270,100.331,2023-02-06T14:18:27.332,0,0,2522,64
104,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,101.388,Playing,480x270,101.388,2023-02-06T14:18:28.332,0,0,2546,64
105,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,102.186,Playing,480x270,102.186,2023-02-06T14:18:29.332,0,0,2571,64
106,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,103.248,Playing,480x270,103.248,2023-02-06T14:18:30.330,0,0,2595,64
107,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,104.315,Playing,480x270,104.315,2023-02-06T14:18:31.332,0,0,2619,64
108,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,105.376,Playing,480x270,105.376,2023-02-06T14:18:32.330,0,0,2643,64
109,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,106.172,Playing,480x270,106.172,2023-02-06T14:18:33.332,0,0,2667,64
110,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,107.232,Playing,480x270,107.232,2023-02-06T14:18:34.331,0,0,2691,64
111,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,108.338,Playing,480x270,108.338,2023-02-06T14:18:35.332,0,0,2715,64
112,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,109.359,Playing,480x270,109.359,2023-02-06T14:18:36.332,0,0,2739,64
113,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,110.424,Playing,480x270,110.424,2023-02-06T14:18:37.332,0,0,2763,64
114,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,111.217,Playing,480x270,111.217,2023-02-06T14:18:38.329,0,0,2787,64
115,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,112.380,Playing,480x270,112.380,2023-02-06T14:18:39.328,0,0,2811,64
116,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,113.342,Playing,480x270,113.342,2023-02-06T14:18:40.328,0,0,2836,64
117,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,114.405,Playing,480x270,114.405,2023-02-06T14:18:41.329,0,0,2860,64
118,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,115.471,Playing,480x270,115.471,2023-02-06T14:18:42.332,0,0,2884,64
119,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,116.265,Playing,480x270,116.265,2023-02-06T14:18:43.329,0,0,2908,64
120,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,117.327,Playing,480x270,117.327,2023-02-06T14:18:44.333,0,0,2932,64
121,1,96,60,Normal,49,3504.834,23.976,Normal,60,96,49,118.389,Playing,480x270,118.389,2023-02-06T14:18:45.327,0,0,2956,64
